CATEGORIA,WIREO_GERAL,QUANTIDADE_ANEIS
PWA5,WIRE-O 7/8,16
CW17X24,WIRE-O 5/8,18
CW20X28P,WIRE-O 5/8,21
BW12X20,WIRE-O 3/4,8
COA5,WIRE-O 7/8,12
CO17X24,WIRE-O 7/8,13
PWFA5,WIRE-O 5/8,16
CW17X24G,"WIRE-O 1""",18
CW20X28G,"WIRE-O 1""",21
