LAMINAS,VALOR ML,QTD FLS
4000,"R$ 1430",646
6000,"R$ 1605",903
8000,"R$ 1760",1161
10000,"R$ 1940",1419
12000,"R$ 2100",1677
14000,"R$ 2264",1935
16000,"R$ 2440",2193
18000,"R$ 2596",2451
20000,"R$ 2765",2709
22000,"R$ 2915",2962
24000,"R$ 3060",3216
26000,"R$ 3224",3470
28000,"R$ 3374",3724
30000,"R$ 3525",3978

32000,"R$ 3680",5750
